EjV,k_tt,b_tt,eps_tt,cash_tt,maxof7_overJ,ktp_opti,btp_opti,consumption_opti,prob ib,prob is,prob fb2,prob fs,prob ibfb2,prob fbis2,prob none,kn ib,kn is,kn fb2,kn fs,kn ibfb2,kn fbis2,kn none,bn ib,bn is,bn fb2,bn fs,bn ibfb2,bn fbis2,bn none,cc ib,cc is,cc fb2,cc fs,cc ibfb2,cc fbis2,cc none,jV ib,jV is,jV fb2,jV fs,jV ibfb2,jV fbis2,jV none,btp_fb_opti,bn_fb ib,bn_fb is,bn_fb fb2,bn_fb fs,bn_fb ibfb2,bn_fb fbis2,bn_fb none,btp_ib_opti,bn_ib ib,bn_ib is,bn_ib fb2,bn_ib fs,bn_ib ibfb2,bn_ib fbis2,bn_ib none,btp_fs_opti,bn_fs ib,bn_fs is,bn_fs fb2,bn_fs fs,bn_fs ibfb2,bn_fs fbis2,bn_fs none,btp_il_opti,bn_il ib,bn_il is,bn_il fb2,bn_il fs,bn_il ibfb2,bn_il fbis2,bn_il none
-26.82436734,0,0,-1.123160172,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26.82436734,0,0,-0.0625,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26.82436734,0,0,0.998160172,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.870003009,0,3.869909191,-1.123160172,3.869909191,1,2.001060661,1.364990179,0.533616176,0.147002832,0.170784054,0.133696822,0.146107756,0.097478929,0.141554577,0.16337503,3.193392939,2.001060661,3.253468319,2.057727328,2.240919254,2.011444829,3.00992937,0,1.364990179,-0.202438029,0.94472548,0,1.059509485,0,0.570516252,0.533616176,0.612780618,0.731636383,1.342989936,0.63232412,0.85997982,-10.42970057,-10.20477848,-10.57201627,-10.43886174,-11.04592398,-10.48635033,-10.27130582,0,0,0,-0.202438029,0,0,-0.563204552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,1.364990179,0,1.364990179,0,0,0,1.622714037,0
-4.870003009,0,3.869909191,-0.0625,3.869909191,1,2.001060661,1.364990179,0.533616176,0.147002832,0.170784054,0.133696822,0.146107756,0.097478929,0.141554577,0.16337503,3.193392939,2.001060661,3.253468319,2.057727328,2.240919254,2.011444829,3.00992937,0,1.364990179,-0.202438029,0.94472548,0,1.059509485,0,0.570516252,0.533616176,0.612780618,0.731636383,1.342989936,0.63232412,0.85997982,-10.42970057,-10.20477848,-10.57201627,-10.43886174,-11.04592398,-10.48635033,-10.27130582,0,0,0,-0.202438029,0,0,-0.563204552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,1.364990179,0,1.364990179,0,0,0,1.622714037,0
-4.870003009,0,3.869909191,0.998160172,3.869909191,1,2.001060661,1.364990179,0.533616176,0.147002832,0.170784054,0.133696822,0.146107756,0.097478929,0.141554577,0.16337503,3.193392939,2.001060661,3.253468319,2.057727328,2.240919254,2.011444829,3.00992937,0,1.364990179,-0.202438029,0.94472548,0,1.059509485,0,0.570516252,0.533616176,0.612780618,0.731636383,1.342989936,0.63232412,0.85997982,-10.42970057,-10.20477848,-10.57201627,-10.43886174,-11.04592398,-10.48635033,-10.27130582,0,0,0,-0.202438029,0,0,-0.563204552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,1.364990179,0,1.364990179,0,0,0,1.622714037,0
-2.783556699,0,7.855915657,-1.123160172,7.855915657,1,1.686203479,5.03219325,1.967237393,0.131039334,0.155745461,0.139010139,0.140338805,0.136743338,0.153207053,0.14391587,6.575218657,1.686203479,4.51200777,4.272175365,4.733258809,2.17723686,5.237277105,-1.379334758,5.03219325,0,0.784561271,0,4.054156642,0,2.253144817,1.967237393,3.163907887,2.658242449,2.836656847,2.115282965,2.618638552,-7.423808604,-7.164720389,-7.335234596,-7.320965608,-7.359896317,-7.189369468,-7.283211566,0,0,0,0,0,0,-0.609626321,0,0,-1.379334758,0,0,0,0,0,0,0,0,0,0,0.784561271,0,0,0,5.03219325,0,5.03219325,0,0,0,4.663782963,0
-2.783556699,0,7.855915657,-0.0625,7.855915657,1,1.686203479,5.03219325,1.967237393,0.131039334,0.155745461,0.139010139,0.140338805,0.136743338,0.153207053,0.14391587,6.575218657,1.686203479,4.51200777,4.272175365,4.733258809,2.17723686,5.237277105,-1.379334758,5.03219325,0,0.784561271,0,4.054156642,0,2.253144817,1.967237393,3.163907887,2.658242449,2.836656847,2.115282965,2.618638552,-7.423808604,-7.164720389,-7.335234596,-7.320965608,-7.359896317,-7.189369468,-7.283211566,0,0,0,0,0,0,-0.609626321,0,0,-1.379334758,0,0,0,0,0,0,0,0,0,0,0.784561271,0,0,0,5.03219325,0,5.03219325,0,0,0,4.663782963,0
-2.783556699,0,7.855915657,0.998160172,7.855915657,1,1.686203479,5.03219325,1.967237393,0.131039334,0.155745461,0.139010139,0.140338805,0.136743338,0.153207053,0.14391587,6.575218657,1.686203479,4.51200777,4.272175365,4.733258809,2.17723686,5.237277105,-1.379334758,5.03219325,0,0.784561271,0,4.054156642,0,2.253144817,1.967237393,3.163907887,2.658242449,2.836656847,2.115282965,2.618638552,-7.423808604,-7.164720389,-7.335234596,-7.320965608,-7.359896317,-7.189369468,-7.283211566,0,0,0,0,0,0,-0.609626321,0,0,-1.379334758,0,0,0,0,0,0,0,0,0,0,0.784561271,0,0,0,5.03219325,0,5.03219325,0,0,0,4.663782963,0
-2.065552018,0,11.96150232,-1.123160172,11.96150232,1,2.598556071,6.462464583,4.042198332,0.128638971,0.162791128,0.138083245,0.144841233,0.123696316,0.16064295,0.141306158,10.05849915,2.598556071,8.656659409,2.621222737,11.11111111,1.691948369,7.974334878,-2.110049599,6.462464583,-0.269318293,5.265017115,-2.330864198,6.636965518,0,3.446768299,4.042198332,3.359440724,4.077457591,2.594760716,4.674637839,3.987167439,-6.355977043,-6.002789819,-6.249706657,-6.178034449,-6.414747504,-6.022715451,-6.215098444,0,0,0,-0.269318293,0,-2.330864198,-0.473745543,0,0,-2.110049599,0,0,0,0,0,0,0,0,0,0,5.265017115,0,0,0,6.462464583,0,6.462464583,0,0,0,7.110711061,0
