"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"1","A0",0,526,32.8474712605457,-0.851282872832828
"2","A0",0,555,53.3465869778373,-0.360728755932457
"3","A0",0,905,1.53302534699529,-5.28771355004663
"4","A0",0,953,20.1253810077412,-1.38784282953969
"5","A0",0,1017,63.7747661483877,-0.189919481049117
"6","A0",0,1047,95.3407986645728,0.155381607557479
"7","A0",0,1142,43.2585108410139,-0.568191092841735
"8","A0",0,1167,63.8221539648463,-0.189217769918537
"9","A0",0,1450,49.5593323825806,-0.43277332106988
"10","A0",0,1614,61.2664854514954,-0.227881397185503
"11","A0",0,1627,73.6936769887542,-0.0556047909376146
"12","A0",0,1790,87.1249966350322,0.0878713238577016
"13","A0",0,1799,97.9062970219225,0.174290390667284
"14","A0",0,1842,16.057625423201,-1.65124069574997
"15","A0",0,2013,26.1644684082442,-1.09573024908981
"16","A0",0,2227,73.7085137435364,-0.0554220381208596
"17","A0",0,2463,26.2464556344246,-1.09228645300492
"18","A0",0,2511,58.848263826505,-0.266245345142209
"19","A0",0,2538,85.2157934183274,0.0702889399925089
"20","A0",0,2567,5.51917216002068,-3.03913034392514
"21","A0",0,2592,16.1948090605881,-1.640887588799
"22","A0",0,2757,23.2012259812209,-1.22793228769947
"23","A0",0,2888,13.4905820948706,-1.85882270379552
"24","A0",0,2980,76.8228166903711,-0.0182894749753923
"25","A0",0,2986,83.302750290898,0.0518165310945646
"26","A0",0,3004,1.16880369130783,-6.1511651555818
"27","A0",0,3207,23.2701777725615,-1.22462533228541
"28","A0",0,3371,29.8667283723932,-0.952505414972624
"29","A0",0,3446,94.3041159409839,0.147466870681209
"30","A0",0,4291,42.8977813589573,-0.576657573146457
"31","A0",0,4307,54.9916264667605,-0.33120631621988
"32","A0",0,4405,21.2635040182161,-1.32572956185317
"33","A0",0,4444,45.073728588636,-0.526930153634408
"34","A0",0,4469,65.540409116544,-0.164181372485647
"35","A0",0,4761,59.167071138428,-0.261109354139371
"36","A0",0,5107,2.12440475649102,-4.61103758779771
"37","A0",0,5134,11.7761044823907,-2.02644394600396
"38","A0",0,5211,59.221596892053,-0.260234570098812
"39","A0",0,5349,49.5918204368722,-0.432130408074552
"40","A0",0,5364,61.8348495145216,-0.219106639987496
"41","A0",0,5475,33.4218242998594,-0.832973978510032
"42","A0",0,5769,29.9733446984334,-0.948706322877689
"43","A0",0,5962,59.5771292099744,-0.254543059619601
"44","A0",0,5991,89.0630349937507,0.104867224778861
"45","A0",0,6170,6.71989644205215,-2.76059635292248
"46","A0",0,6737,83.9769513834489,0.0584281512386427
"47","A0",0,6746,94.4442333124686,0.148545910910723
"48","A0",0,6988,40.8253115681264,-0.626613223128984
"49","A0",0,7067,5.71630848501256,-2.99046817754935
"50","A0",0,7081,10.5991306704367,-2.15962983655936
"51","A2504",2504,526,32.9037140185334,-0.799770993050207
"52","A2504",2504,555,53.8157722042249,-0.319793682748118
"53","A2504",2504,905,1.71449848771116,-4.51069594743706
"54","A2504",2504,953,20.3068541484571,-1.3030565841711
"55","A2504",2504,1017,64.298910868441,-0.154544473867176
"56","A2504",2504,1047,95.8649433846261,0.181444433810589
"57","A2504",2504,1142,43.4446543846289,-0.524628381164891
"58","A2504",2504,1167,64.35978810273,-0.153675969338578
"59","A2504",2504,1450,49.6265653361698,-0.396615631570586
"60","A2504",2504,1614,61.8376106556277,-0.190402375434313
"61","A2504",2504,1627,73.7621396231898,-0.03018907705812
"62","A2504",2504,1790,87.3260511750608,0.112361313081788
"63","A2504",2504,1799,98.1073515619511,0.197711498953467
"64","A2504",2504,1842,16.6473351097811,-1.51995022420548
"65","A2504",2504,2013,26.7627071359819,-1.01143911022396
"66","A2504",2504,2227,73.7811998092135,-0.0299595974345504
"67","A2504",2504,2463,26.8680328494224,-1.0073438288377
"68","A2504",2504,2511,59.4698410415027,-0.226513141192064
"69","A2504",2504,2538,85.8373706333251,0.0988764367958377
"70","A2504",2504,2567,5.73686608642118,-2.77533458920007
"71","A2504",2504,2592,16.8235694471687,-1.50809094349641
"72","A2504",2504,2757,23.8369288025976,-1.13231310979357
"73","A2504",2504,2888,13.713009117927,-1.73625802893858
"74","A2504",2504,2980,76.899826968086,0.00650914508180492
"75","A2504",2504,2986,83.3797605686129,0.0755019241235542
"76","A2504",2504,3004,1.24659748016492,-5.20614348913012
"77","A2504",2504,3207,23.9255084137673,-1.1284077333428
"78","A2504",2504,3371,30.0957709446568,-0.890407721512664
"79","A2504",2504,3446,94.5331585132475,0.171444489268833
"80","A2504",2504,4291,42.9812396330065,-0.535008699868165
"81","A2504",2504,4307,55.2326770900928,-0.295373278855078
"82","A2504",2504,4405,21.347614823935,-1.2492170122368
"83","A2504",2504,4444,45.1578393943549,-0.487057580067117
"84","A2504",2504,4469,65.7833444321675,-0.133645086838327
"85","A2504",2504,4761,59.8794000562744,-0.220165710040476
"86","A2504",2504,5107,2.21165452809159,-4.08600879042971
"87","A2504",2504,5134,11.8633542539913,-1.90198592805379
"88","A2504",2504,5211,59.9494471132245,-0.219086922467488
"89","A2504",2504,5349,50.3247361791402,-0.383250420867
"90","A2504",2504,5364,62.5677652567896,-0.179563819071331
