year,wage,category,gender,skill,occupation,labsupply,genskl_part_share,sum_labsupply_yeargender,part_yeargender_shr,part_yeargender_shr_m2f_diff,part_yeargender_shr_m2f_dfv1st,sum_labsupply_yearskill,part_yearskill_shr,sum_labsupply_yeargenderoccupation,ln_wagerela_m2f,ln_labqrela_m2f,sum_wage_skl_wgted,ln_wagerela_m2f_sklwgted,ln_wagerela_m2f_occwgted,ln_wagerela_k2u_occwgted,gen_part_share,gen_part_share_dfv1st,gen_part_share_m2f_df,gen_part_share_dfvbase,genskl_part_share_dfvbase,ctr_var,ctr_var_idx,ge_pe,wagerela_model_sklwgted,wagerela_model_occwgted,wagerelaskl_model_occwgted
1989,2.92282109,C003,Female,unskilled,Analytical,1.303212954,0.104120364,4.786737842,0.358004313,0.586940435,0,13.86665504,0.616704065,1.612852774,0.232352592,0.296195338,3.35728203,0.404207878,0.081976893,0.832006878,0.097468438,0,0.05044566,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,5.185842468,C013,Female,skilled,Analytical,0.30963982,0.362488038,4.786737842,0.358004313,0.586940435,0,2.115705023,0.774013032,1.612852774,0.279736379,1.423343043,3.35728203,0.404207878,0.232640272,0.832006878,0.023158233,0,0.085325598,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,1.403077694,C001,Female,unskilled,Manual,1.853993423,0.148125039,4.786737842,0.358004313,0.586940435,0,13.86665504,0.616704065,1.867496485,0.234739571,0.865439916,1.407127903,0.261480364,0.081976893,0.832006878,0.138661791,0,0.233149136,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,-0.132992378
1989,1.963228534,C011,Female,skilled,Manual,0.013503063,0.015807717,4.786737842,0.358004313,0.586940435,0,2.115705023,0.774013032,1.867496485,0.510293695,2.490195486,1.407127903,0.261480364,0.232640272,0.832006878,0.001009906,0,0.012739015,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,2.16461511,C002,Female,unskilled,Routine,1.232107397,0.098439376,4.786737842,0.358004313,0.586940435,0,13.86665504,0.616704065,1.306388583,-0.026756187,0.991143837,2.23780991,-0.01027462,0.081976893,0.832006878,0.092150391,0,0.188041166,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,3.45189733,C012,Female,skilled,Routine,0.074281186,0.086959234,4.786737842,0.358004313,0.586940435,0,2.115705023,0.774013032,1.306388583,0.024042542,1.29085331,2.23780991,-0.01027462,0.232640272,0.832006878,0.005555555,0,0.017239859,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,3.687327232,C103,Male,unskilled,Analytical,1.752473217,0.175797639,11.19562222,0.944944748,0.586940435,0,13.86665504,0.616704065,3.037780106,0.232352592,0.296195338,5.029595711,0.404207878,0.081976893,0.982670258,0.147914098,0,0.05044566,NaN,NaN,Model Prediction (No Counterfactual),1,GE,-1.023979678,,
1989,6.859734162,C113,Male,skilled,Analytical,1.285306889,0.683959103,11.19562222,0.944944748,0.586940435,0,2.115705023,0.774013032,3.037780106,0.279736379,1.423343043,5.029595711,0.404207878,0.232640272,0.982670258,0.108483832,0,0.085325598,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1989,1.774303138,C101,Male,unskilled,Manual,4.405183146,0.441901643,11.19562222,0.944944748,0.586940435,0,13.86665504,0.616704065,4.568079155,0.234739571,0.865439916,1.8276501,0.261480364,0.081976893,0.982670258,0.371810927,0,0.233149136,NaN,NaN,Model Prediction (No Counterfactual),1,GE,-0.583290484,-0.810853486,0.054228953
1989,3.270307522,C111,Male,skilled,Manual,0.162896009,0.086682962,11.19562222,0.944944748,0.586940435,0,2.115705023,0.774013032,4.568079155,0.510293695,2.490195486,1.8276501,0.261480364,0.232640272,0.982670258,0.013748921,0,0.012739015,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,0.756624533,
1989,2.107466215,C102,Male,unskilled,Routine,3.319684907,0.333010948,11.19562222,0.944944748,0.586940435,0,13.86665504,0.616704065,3.589762963,-0.026756187,0.991143837,2.214934979,-0.01027462,0.081976893,0.982670258,0.280191557,0,0.188041166,NaN,NaN,Model Prediction (No Counterfactual),1,GE,-0.70456064,,
1989,3.535895435,C112,Male,skilled,Routine,0.270078056,0.143718474,11.19562222,0.944944748,0.586940435,0,2.115705023,0.774013032,3.589762963,0.024042542,1.29085331,2.214934979,-0.01027462,0.232640272,0.982670258,0.022795414,0,0.017239859,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1992,2.77829726,C003,Female,unskilled,Analytical,1.282862907,0.09627994,5.092297862,0.351083007,0.588896844,0.001956409,15.01328152,0.615245093,1.689733239,0.099445885,0.381833277,3.403678324,0.369639724,-0.070701354,0.879179096,0.088445605,-0.009022832,0.055541836,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1992,5.375505975,C013,Female,skilled,Analytical,0.406870332,0.34473525,5.092297862,0.351083007,0.588896844,0.001956409,2.347821346,0.74424713,1.689733239,0.343597122,1.173236207,3.403678324,0.369639724,0.299707662,0.879179096,0.028051238,0.004893005,0.072712046,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1992,1.411565582,C001,Female,unskilled,Manual,1.92785445,0.144687098,5.092297862,0.351083007,0.588896844,0.001956409,15.01328152,0.615245093,1.94747688,0.047895776,0.898965607,1.420080178,0.092045836,-0.070701354,0.879179096,0.132913854,-0.005747937,0.230002321,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,0.048452346
1992,2.256617867,C011,Female,skilled,Manual,0.01962243,0.016625797,5.092297862,0.351083007,0.588896844,0.001956409,2.347821346,0.74424713,1.94747688,0.489343381,2.158431337,1.420080178,0.092045836,0.299707662,0.879179096,0.001352847,0.000342942,0.011662744,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
1992,2.299382482,C002,Female,unskilled,Routine,1.350335842,0.101343841,5.092297862,0.351083007,0.588896844,0.001956409,15.01328152,0.615245093,1.455087743,-0.193508806,1.044082285,2.411027355,-0.128918891,-0.070701354,0.879179096,0.093097454,0.000947063,0.200800965,NaN,NaN,Model Prediction (No Counterfactual),1,GE,,,
