country_name,ISOCODE,Region,Income group,Lending category
Aruba,ABW,Latin America & Caribbean,High income,
Afghanistan,AFG,South Asia,Low income,IDA
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD
Andorra,AND,Europe & Central Asia,High income,
United Arab Emirates,ARE,Middle East & North Africa,High income,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD
American Samoa,ASM,East Asia & Pacific,High income,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD
Australia,AUS,East Asia & Pacific,High income,
Austria,AUT,Europe & Central Asia,High income,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD
Burundi,BDI,Sub-Saharan Africa,Low income,IDA
Belgium,BEL,Europe & Central Asia,High income,
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA
Bangladesh,BGD,South Asia,Lower middle income,IDA
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD
Bahrain,BHR,Middle East & North Africa,High income,
"Bahamas, The",BHS,Latin America & Caribbean,High income,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD
Bermuda,BMU,North America,High income,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD
Barbados,BRB,Latin America & Caribbean,High income,
Brunei Darussalam,BRN,East Asia & Pacific,High income,
Bhutan,BTN,South Asia,Lower middle income,IDA
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA
Canada,CAN,North America,High income,
Switzerland,CHE,Europe & Central Asia,High income,
Channel Islands,CHI,Europe & Central Asia,High income,
Chile,CHL,Latin America & Caribbean,High income,IBRD
China,CHN,East Asia & Pacific,Upper middle income,IBRD
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD
Cuba,CUB,Latin America & Caribbean,Upper middle income,
Curaçao,CUW,Latin America & Caribbean,High income,
Cayman Islands,CYM,Latin America & Caribbean,High income,
Cyprus,CYP,Europe & Central Asia,High income,
Czechia,CZE,Europe & Central Asia,High income,
Germany,DEU,Europe & Central Asia,High income,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend
Denmark,DNK,Europe & Central Asia,High income,
