popgrp,age,ISOCODE,sub_region_name,region_name,pm10_grp_mean_x,pm10_grp_mean_y,relative_excess_burden,order
1,0-4,AFG,Southern Asia,Asia,392.8189653,448.4232115,-0.123999482,0
1709,0-4,MYS,South-eastern Asia,Asia,333.2234194,448.4232115,-0.256899708,0
1723,0-4,NAM,Sub-Saharan Africa,Africa,146.1438168,448.4232115,-0.674093996,0
1737,0-4,NCL,Melanesia,Oceania,137.1405627,448.4232115,-0.694171579,0
1751,0-4,NER,Sub-Saharan Africa,Africa,375.7375689,448.4232115,-0.162091615,0
1765,0-4,NGA,Sub-Saharan Africa,Africa,541.2703663,448.4232115,0.207052517,0
1779,0-4,NIC,Latin America and the Caribbean,Americas,226.781941,448.4232115,-0.494268059,0
1793,0-4,NLD,Western Europe,Europe,263.3233142,448.4232115,-0.412779474,0
1807,0-4,NOR,Northern Europe,Europe,155.0348464,448.4232115,-0.654266678,0
1821,0-4,NPL,Southern Asia,Asia,740.1872259,448.4232115,0.650644318,0
1695,0-4,MWI,Sub-Saharan Africa,Africa,169.5608462,448.4232115,-0.621873173,0
1835,0-4,NZL,Australia and New Zealand,Oceania,120.9004815,448.4232115,-0.730387548,0
1863,0-4,PAK,Southern Asia,Asia,684.0706241,448.4232115,0.525502264,0
1877,0-4,PAN,Latin America and the Caribbean,Americas,277.1059581,448.4232115,-0.382043679,0
1891,0-4,PER,Latin America and the Caribbean,Americas,228.0501924,448.4232115,-0.491439813,0
1905,0-4,PHL,South-eastern Asia,Asia,236.9615443,448.4232115,-0.471567175,0
1919,0-4,PLW,Micronesia,Oceania,139.0394403,448.4232115,-0.689937013,0
1933,0-4,PNG,Melanesia,Oceania,217.4209217,448.4232115,-0.515143471,0
1947,0-4,POL,Eastern Europe,Europe,276.5490041,448.4232115,-0.383285706,0
1961,0-4,PRI,Latin America and the Caribbean,Americas,244.3059646,448.4232115,-0.455188852,0
1975,0-4,PRK,Eastern Asia,Asia,495.6845239,448.4232115,0.105394438,0
1849,0-4,OMN,Western Asia,Asia,421.4121272,448.4232115,-0.060235696,0
1989,0-4,PRT,Southern Europe,Europe,170.356346,448.4232115,-0.62009918,0
1681,0-4,MTQ,Latin America and the Caribbean,Americas,215.2105891,448.4232115,-0.520072593,0
1653,0-4,MRT,Sub-Saharan Africa,Africa,676.7233855,448.4232115,0.509117655,0
1373,0-4,LBR,Sub-Saharan Africa,Africa,594.2029299,448.4232115,0.325094051,0
1387,0-4,LBY,Northern Africa,Africa,241.2349296,448.4232115,-0.462037371,0
1401,0-4,LCA,Latin America and the Caribbean,Americas,216.0145855,448.4232115,-0.518279652,0
1415,0-4,LKA,Southern Asia,Asia,287.3692284,448.4232115,-0.359156214,0
1429,0-4,LSO,Sub-Saharan Africa,Africa,86.42098958,448.4232115,-0.807278064,0
1443,0-4,LTU,Northern Europe,Europe,269.7448951,448.4232115,-0.398459116,0
1457,0-4,LVA,Northern Europe,Europe,266.6204337,448.4232115,-0.405426778,0
1471,0-4,MAR,Northern Africa,Africa,200.8339905,448.4232115,-0.552132929,0
1485,0-4,MDA,Eastern Europe,Europe,247.8652897,448.4232115,-0.447251428,0
1667,0-4,MSR,Latin America and the Caribbean,Americas,210.9788598,448.4232115,-0.529509503,0
1499,0-4,MDG,Sub-Saharan Africa,Africa,112.7497775,448.4232115,-0.748563913,0
1527,0-4,MEX,Latin America and the Caribbean,Americas,187.4433362,448.4232115,-0.581994573,0
1541,0-4,MHL,Micronesia,Oceania,184.5920145,448.4232115,-0.588353123,0
1555,0-4,MKD,Southern Europe,Europe,227.9214037,448.4232115,-0.491727016,0
1569,0-4,MLI,Sub-Saharan Africa,Africa,379.9251557,448.4232115,-0.152753145,0
1583,0-4,MMR,South-eastern Asia,Asia,358.8341562,448.4232115,-0.199786837,0
1597,0-4,MNE,Southern Europe,Europe,201.2532143,448.4232115,-0.551198044,0
1611,0-4,MNG,Eastern Asia,Asia,171.7154394,448.4232115,-0.617068352,0
1625,0-4,MNP,Micronesia,Oceania,151.036386,448.4232115,-0.66318339,0
1639,0-4,MOZ,Sub-Saharan Africa,Africa,179.0502187,448.4232115,-0.600711529,0
1513,0-4,MDV,Southern Asia,Asia,255.5403261,448.4232115,-0.430135819,0
1359,0-4,LBN,Western Asia,Asia,315.8476593,448.4232115,-0.295648282,0
2003,0-4,PRY,Latin America and the Caribbean,Americas,254.9930855,448.4232115,-0.431356186,0
2031,0-4,QAT,Western Asia,Asia,610.0863832,448.4232115,0.360514727,0
2381,0-4,TLS,South-eastern Asia,Asia,178.6236331,448.4232115,-0.60166283,0
2395,0-4,TON,Polynesia,Oceania,125.3406482,448.4232115,-0.720485816,0
2409,0-4,TTO,Latin America and the Caribbean,Americas,279.9471744,448.4232115,-0.375707664,0
2423,0-4,TUN,Northern Africa,Africa,242.3473101,448.4232115,-0.459556723,0
2437,0-4,TUR,Western Asia,Asia,280.1585173,448.4232115,-0.375236361,0
2451,0-4,TWN,,,401.2557203,448.4232115,-0.105185213,0
2465,0-4,TZA,Sub-Saharan Africa,Africa,223.0786462,448.4232115,-0.502526541,0
2479,0-4,UGA,Sub-Saharan Africa,Africa,325.1849913,448.4232115,-0.274825694,0
2493,0-4,UKR,Eastern Europe,Europe,246.7897131,448.4232115,-0.449650003,0
2367,0-4,TKM,Central Asia,Asia,362.9376356,448.4232115,-0.19063593,0
2507,0-4,URY,Latin America and the Caribbean,Americas,144.4592528,448.4232115,-0.677850635,0
2535,0-4,UZB,Central Asia,Asia,440.0786105,448.4232115,-0.018608762,0
2549,0-4,VEN,Latin America and the Caribbean,Americas,314.2806108,448.4232115,-0.299142857,0
2563,0-4,VGB,Latin America and the Caribbean,Americas,218.1749831,448.4232115,-0.513461887,0
