popgrp,ISOCODE,sub_region_name,age,popgrp_mass,pm10_grp_mean,pm10_overall_mean,pm10_grp_exc_burden,pm10_grp_shr_exc,pm10_p10,pm10_p20,pm10_p80,pm10_p90,pm10_rat_p80_dvd_p20,pm10_rat_p90_dvd_p10
29,AIA,Latin America and the Caribbean,0-4,6.00E-07,0.032694311,0.111694934,-0.707289222,1.11E-16,0.032776826,0.032776826,0.032776826,0.032776826,1,1
71,ARG,Latin America and the Caribbean,0-4,4.01E-04,0.049954592,0.111694934,-0.552758656,0.088401307,0.004951484,0.004987158,0.088584475,0.110851884,17.76251788,22.38760807
99,ATG,Latin America and the Caribbean,0-4,4.60E-08,0.043621575,0.111694934,-0.609457888,0,0.043621575,0.043621575,0.043621575,0.043621575,1,1
197,BES,Latin America and the Caribbean,0-4,5.25E-06,0.153446062,0.111694934,0.373796076,NA,0.153446062,0.153446062,0.153446062,0.153446062,1,1
253,BHS,Latin America and the Caribbean,0-4,4.35E-05,0.110208378,0.111694934,-0.013309067,0.738239572,0.052953767,0.077011986,0.114918664,0.176220034,1.492217899,3.327809216
295,BLZ,Latin America and the Caribbean,0-4,4.75E-05,0.198038857,0.111694934,0.773033482,NA,0.192772546,0.194606164,0.209631849,0.209631849,1.077210735,1.087456975
309,BOL,Latin America and the Caribbean,0-4,1.78E-04,0.066273413,0.111694934,-0.406656944,0.320768462,0,0,0.135259703,0.198330479,Inf,Inf
323,BRA,Latin America and the Caribbean,0-4,0.001990306,0.155625506,0.111694934,0.393308548,0.618625527,0.049250856,0.04963613,0.279922945,0.337885274,5.639499784,6.860495437
421,CHL,Latin America and the Caribbean,0-4,8.76E-05,0.006224893,0.111694934,-0.944268794,0,0,1.07E-04,0.010188356,0.018307648,95.2,Inf
519,COL,Latin America and the Caribbean,0-4,7.16E-04,0.105603229,0.111694934,-0.054538772,0.370819506,0.001740868,0.006820776,0.230957477,0.283690068,33.86087866,162.9590164
547,CRI,Latin America and the Caribbean,0-4,1.90E-05,0.166417886,0.111694934,0.489932267,NA,0.166245719,0.166245719,0.166245719,0.166245719,1,1
